AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A682248,,2014-07-08 17:23:00,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,White
A665473,Izzy,2013-10-24 15:54:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A669418,Bongo,2013-12-28 12:03:00,Adoption,,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Tortie
A673083,Vigo,2014-03-06 16:38:00,Adoption,,Dog,Neutered Male,5 years,Maltese,White
A708854,Fall,2015-11-08 16:41:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A713515,Candy,2015-10-10 14:09:00,Return_to_owner,,Dog,Intact Female,12 years,Miniature Poodle Mix,Buff
A549639,Little Red,2014-05-26 18:16:00,Return_to_owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Brown/White
A642081,Cachito,2013-12-27 19:11:00,Transfer,Partner,Dog,Neutered Male,9 years,Pit Bull,Brown/White
A720470,,2016-02-15 10:25:00,Adoption,,Dog,Neutered Male,1 year,Rat Terrier Mix,White/Black
A613280,Tessie,2014-04-07 15:54:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White
A564660,Moki,2014-02-01 13:49:00,Adoption,,Dog,Spayed Female,6 years,Australian Shepherd Mix,Brown/Tan
A529211,Oliver,2014-04-15 18:12:00,Return_to_owner,,Cat,Neutered Male,6 years,Domestic Longhair Mix,Blue
A707713,Katy,2015-10-15 18:44:00,Adoption,,Cat,Spayed Female,3 months,Abyssinian Mix,Brown Tabby
A700059,Meerkat,2015-04-25 23:01:00,Adoption,Offsite,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Brown
A662292,Cesar,2013-12-02 12:37:00,Adoption,,Dog,Neutered Male,11 months,Catahoula Mix,Sable/Tan
A687326,Bernice,2014-09-22 18:50:00,Adoption,Foster,Dog,Spayed Female,12 years,Dachshund Longhair/Cardigan Welsh Corgi,Brown/White
A695180,Duke,2015-01-12 17:51:00,Return_to_owner,,Dog,Neutered Male,2 years,Boxer Mix,Red/White
A668280,,2013-12-06 17:01:00,Transfer,Partner,Dog,Neutered Male,9 months,Chihuahua Shorthair Mix,Brown/White
A696971,Remington,2015-04-05 17:37:00,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Black Brindle
A718904,Ivory,2016-01-11 14:06:00,Adoption,,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
A714016,Betty,2015-12-18 15:18:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A721022,Ranger,2016-02-20 11:16:00,Return_to_owner,,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
A690400,Wilbur,2014-10-20 11:55:00,Return_to_owner,,Dog,Neutered Male,10 years,Boston Terrier,Black/White
A679965,Melanie,2014-05-28 16:59:00,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
A665394,Juno,2013-10-25 18:31:00,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Brown Tabby/White
A718388,,2016-01-08 18:51:00,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A662043,Holly,2015-06-01 11:42:00,Return_to_owner,,Dog,Spayed Female,6 years,Labrador Retriever/Pit Bull,White/Tan
A569032,Sport,2015-05-29 11:33:00,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Buff
A680922,,2014-06-09 19:15:00,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
A577781,Charlie,2013-12-21 16:09:00,Transfer,Partner,Dog,Spayed Female,13 years,Australian Shepherd Mix,Brown/White
A683816,Fritz,2014-07-19 13:43:00,Adoption,,Dog,Neutered Male,7 years,Dachshund Mix,Brown
A682663,Hansel,2014-07-18 19:12:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan
A678486,Higgins,2014-06-05 18:46:00,Transfer,Partner,Dog,Neutered Male,4 years,Miniature Pinscher Mix,Black/Tan
A699358,Lacey,2015-04-03 00:00:00,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,White/Brown Brindle
A692392,Taz,2014-11-24 13:32:00,Transfer,Partner,Dog,Intact Male,2 months,Dachshund Wirehair Mix,White/Black
A696174,Clancy,2015-12-16 10:40:00,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A679116,,2014-07-01 09:16:00,Adoption,Foster,Cat,Neutered Male,3 months,Manx Mix,Black
A688711,Birdie,2014-09-23 12:28:00,Transfer,Partner,Dog,Intact Female,4 months,Labrador Retriever/Border Collie,Black/White
A492030,Johnny,2014-07-25 16:43:00,Return_to_owner,,Dog,Neutered Male,10 years,Miniature Pinscher Mix,Chocolate/Tan
A672805,Booker,2014-02-23 16:11:00,Adoption,,Dog,Spayed Female,1 year,Dutch Shepherd/Anatol Shepherd,Brown/White
A687772,Violet,2014-11-25 14:12:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A701299,,2015-04-27 13:37:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A704744,,2015-06-08 18:20:00,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby
A682826,,2014-07-08 14:48:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A667269,Sara,2013-12-01 12:41:00,Adoption,,Dog,Spayed Female,2 years,Belgian Malinois Mix,Brown/Black
A669773,Melvin,2014-01-25 16:24:00,Transfer,Partner,Dog,Intact Male,5 years,Boerboel Mix,Brown
A712231,Juniper,2015-12-12 18:08:00,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point
A666784,Snowbelle,2013-12-20 16:37:00,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Cream
A713128,Taz,2015-10-07 13:23:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A671533,Jasper,2014-01-29 15:07:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A676735,Oscar,2014-04-14 17:14:00,Euthanasia,Suffering,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
A675541,Caprice,2014-08-20 14:55:00,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
A704184,,2015-06-07 15:31:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A712903,,2015-09-29 19:01:00,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Black/White
A699499,,2015-04-01 18:44:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A669506,Buddy,2014-04-03 19:07:00,Transfer,Partner,Dog,Neutered Male,2 years,Beagle Mix,Tricolor
A718908,Ghost,2016-01-22 13:15:00,Adoption,,Dog,Neutered Male,3 years,Boxer,White
A689039,Bruno,2014-10-09 15:49:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A683322,Wally,2014-12-12 12:40:00,Adoption,Foster,Dog,Neutered Male,2 years,Chihuahua Shorthair/Miniature Pinscher,Chocolate/Tan
A698509,,2015-03-12 18:53:00,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
A666768,Faith,2013-11-07 14:09:00,Return_to_owner,,Dog,Intact Female,1 year,Maltese Mix,Cream
A657358,Alfie,2015-12-19 17:58:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Sable/White
A679429,Goose,2014-06-25 12:04:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A668001,Jack,2013-11-27 16:28:00,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull/Labrador Retriever,Tan/Black
A715574,,2015-11-11 19:03:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Black/Brown Brindle
A699083,Howie,2015-03-24 14:19:00,Transfer,Partner,Dog,Intact Male,1 month,Maltese/Dachshund,Tricolor
A696116,Gigi,2015-02-03 17:46:00,Adoption,,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Brown
A715363,Grace,2016-02-12 13:35:00,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie
A681679,Captain,2014-12-05 17:10:00,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A691941,,2014-11-22 13:16:00,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Fawn/White
A711051,,2015-09-01 12:48:00,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A677734,Angel,2014-05-02 16:19:00,Transfer,Partner,Cat,Neutered Male,3 years,Ragdoll,Lynx Point
A676886,Emma Bella,2014-04-22 16:26:00,Adoption,,Dog,Spayed Female,9 months,Chihuahua Shorthair/Dachshund,Cream
A696067,,2015-02-02 14:56:00,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A680739,Stewart,2014-08-07 13:38:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A704919,Edward,2015-07-19 18:14:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A689520,,2014-10-06 09:00:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby
A712390,,2016-01-22 09:57:00,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A667794,,2013-11-26 15:29:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A707217,,2015-07-09 18:05:00,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
A673931,The Captain,2014-03-15 18:49:00,Adoption,,Dog,Neutered Male,3 years,Pembroke Welsh Corgi Mix,Brown
A700878,Maybelle,2015-04-27 13:31:00,Transfer,Partner,Cat,Intact Female,8 years,Domestic Shorthair Mix,Black
A671213,Grace,2014-01-29 18:43:00,Adoption,,Dog,Spayed Female,1 year,Chow Chow Mix,Red
A683262,X,2014-07-18 13:02:00,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Buff
A714775,Mimi,2015-11-01 00:00:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A708900,,2015-08-03 09:00:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby
A667589,Silver,2013-12-14 17:29:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Cream/Blue Tabby
A713874,Benchley,2015-10-18 12:15:00,Transfer,Partner,Dog,Intact Male,9 years,Golden Retriever,Red
A671318,Mina,2014-04-24 18:58:00,Adoption,,Dog,Spayed Female,7 months,Labrador Retriever/Golden Retriever,Yellow
A625400,Chuy,2014-04-27 12:19:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown
A684816,Tejota,2014-09-03 14:53:00,Transfer,Partner,Dog,Neutered Male,11 months,Chihuahua Shorthair/Pug,Brown/Black
A687796,Boomer,2014-09-16 11:22:00,Transfer,Partner,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown Brindle/White
A715590,,2015-11-06 13:36:00,Euthanasia,Suffering,Cat,Unknown,2 years,Siamese Mix,Seal Point
A713999,Bones,2015-10-25 11:01:00,Return_to_owner,,Dog,Neutered Male,8 years,Pit Bull Mix,Brown/White
A689648,Marley,2014-10-11 17:34:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
A690784,Elsa,2014-12-23 16:53:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A666921,Jake,2013-12-22 18:04:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White
A713135,Mars,2015-10-07 14:19:00,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Medium Hair Mix,Orange Tabby/White
A566795,Lucky,2014-07-18 16:24:00,Return_to_owner,,Dog,Spayed Female,6 years,Pit Bull Mix,Brown Brindle/White
A667876,Miriam,2013-11-30 14:29:00,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Brown Tabby
A695266,Shadow,2015-01-12 16:22:00,Return_to_owner,,Dog,Intact Male,3 years,Pit Bull Mix,Black/White
A707962,,2015-07-21 12:59:00,Transfer,Partner,Cat,Unknown,2 weeks,Snowshoe Mix,Lynx Point
A688412,Mimi,2014-09-24 15:31:00,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A710647,Stars,2015-09-01 15:52:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A669324,Shasta,2014-01-29 19:16:00,Adoption,,Dog,Spayed Female,1 year,Staffordshire/French Bulldog,Fawn/White
A702023,Jasmine,2015-07-07 19:16:00,Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Calico
A713154,,2015-10-04 09:00:00,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Brown Tabby
A695623,Starlit,2015-01-25 11:47:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair,Tan
A682696,Rocky,2014-07-06 16:57:00,Adoption,,Dog,Intact Male,2 years,Labrador Retriever/German Shepherd,Chocolate/White
A692548,Rascah,2014-12-06 12:12:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown Brindle
A720544,Mina,2016-02-20 15:52:00,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Black
A688334,Chiquita,2014-09-25 17:53:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Sable/Black
A650104,Katie,2013-10-15 17:28:00,Euthanasia,Suffering,Dog,Intact Female,3 years,Australian Kelpie Mix,Black/Tan
A679190,Simon,2014-05-22 17:12:00,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White
A678764,,2014-05-16 17:56:00,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,White/Blue
A716687,Amedeus,2016-01-30 18:11:00,Adoption,Foster,Cat,Spayed Female,2 months,Snowshoe Mix,Seal Point/White
A669581,,2013-12-31 17:15:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/Red
A719251,Abigail,2016-02-14 13:26:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,White/Blue
A706565,Ducky,2015-07-02 00:00:00,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A163459,Sasha,2014-11-14 19:28:00,Return_to_owner,,Dog,Intact Female,15 years,Miniature Schnauzer Mix,Black/Gray
A707932,Cosmos,2015-07-29 13:32:00,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby/White
A707248,,2015-07-11 15:08:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A705364,,2015-06-17 09:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Orange/White
A684450,,2014-07-24 09:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White
A698469,Dolly,2015-03-26 18:17:00,Transfer,Partner,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black
A685406,Toby,2014-10-08 12:28:00,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan
A666799,,2013-11-08 15:51:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A696772,,2015-02-23 12:28:00,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
A664711,,2013-10-08 10:49:00,Euthanasia,Suffering,Cat,Intact Female,5 years,Himalayan Mix,Tortie Point
A699587,Paisley,2015-04-03 17:26:00,Adoption,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
A664544,Clover,2013-11-22 18:27:00,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
A707703,Bruno,2015-07-19 18:15:00,Return_to_owner,,Dog,Neutered Male,1 year,Cavalier Span Mix,Red
A672648,Lisa,2014-02-16 19:13:00,Adoption,Offsite,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby
A694553,,2014-12-30 18:35:00,Euthanasia,Suffering,Cat,Unknown,5 years,Domestic Longhair Mix,Orange Tabby
A677301,,2014-04-23 13:42:00,Euthanasia,Suffering,Cat,Intact Male,4 years,Domestic Medium Hair Mix,Orange Tabby
A681156,,2014-06-17 17:40:00,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Tan/White
A720701,,2016-02-16 10:16:00,Transfer,SCRP,Cat,Intact Male,,Domestic Shorthair Mix,Blue Tabby/White
A675119,,2014-03-27 08:00:00,Transfer,Partner,Dog,Intact Male,1 month,Pomeranian Mix,White/Brown
A626847,Sasha,2014-10-04 18:27:00,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/White
A712202,,2015-09-21 15:59:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A643052,Yogi,2015-01-05 13:00:00,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Longhair Mix,White/Orange Tabby
A670203,Gucci,2014-01-05 18:02:00,Return_to_owner,,Dog,Spayed Female,2 years,Catahoula Mix,Brown Merle/White
A666133,,2013-12-09 18:32:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Chocolate Point
A719862,Brunhilde,2016-02-02 17:30:00,Transfer,Partner,Dog,Spayed Female,5 months,Black Mouth Cur Mix,Tan/White
A704200,,2015-06-06 13:12:00,Transfer,Partner,Cat,Unknown,2 months,Snowshoe Mix,Seal Point
A709374,Emily,2015-09-29 16:03:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Tan/White
A703406,,2015-05-24 13:36:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Torbie/White
A685384,,2014-08-06 15:38:00,Euthanasia,Suffering,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby/White
A672483,Bones,2014-08-26 15:05:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A667662,Tucker,2013-12-02 11:47:00,Return_to_owner,,Dog,Neutered Male,6 years,Maltese/Papillon,White/Black
A668945,,2013-12-12 18:13:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White
A679114,,2014-05-17 20:24:00,Transfer,SCRP,Cat,Unknown,7 months,Domestic Shorthair Mix,Orange Tabby
A636714,Blue,2014-01-05 18:03:00,Adoption,,Dog,Neutered Male,4 years,Siberian Husky Mix,Sable/White
A693312,,2014-12-10 15:23:00,Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Yellow
A662115,Riz,2013-10-15 14:31:00,Transfer,Partner,Dog,Spayed Female,8 years,Pit Bull Mix,Black/White
A697762,Socks,2015-11-09 00:00:00,Transfer,Partner,Dog,Spayed Female,1 year,Boxer Mix,Tan
A689132,Ares,2014-10-14 16:39:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A659642,Trevor,2013-10-10 11:18:00,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund/Basset Hound,Brown Brindle
A714141,Heidi,2016-01-21 13:12:00,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd Mix,Brown/Black
A681029,Tipi,2014-06-14 14:31:00,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Cream Tabby/White
A713723,,2015-10-15 15:19:00,Transfer,Partner,Cat,Spayed Female,3 years,Persian Mix,Black/White
A667721,Lilah,2013-11-26 07:57:00,Transfer,Partner,Dog,Intact Female,2 months,Catahoula Mix,Blue Merle/White
A697119,Lucas,2015-03-22 17:32:00,Adoption,,Dog,Neutered Male,2 years,Chow Chow/Siberian Husky,Tan
A695343,,2015-01-18 19:47:00,Adoption,Offsite,Dog,Neutered Male,2 months,Australian Shepherd/Chihuahua Shorthair,Black/Tan
A693418,,2014-12-08 18:04:00,Adoption,,Dog,Neutered Male,2 months,Wire Hair Fox Terrier/Beagle,Tan
A687497,,2014-09-05 15:16:00,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
A710421,Lady,2015-08-28 13:01:00,Transfer,Partner,Dog,Intact Female,3 years,Boxer Mix,Tan/White
A700138,,2015-04-20 14:08:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A702881,Vanillapie,2015-05-20 17:09:00,Return_to_owner,,Dog,Spayed Female,2 years,Basenji/Chow Chow,Tan
A670386,Lillian,2014-01-18 17:32:00,Adoption,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Chocolate/White
A713611,,2015-10-13 13:49:00,Transfer,Partner,Dog,Intact Male,5 months,Golden Retriever Mix,Yellow
A678511,Hank,2015-08-18 12:48:00,Return_to_owner,,Dog,Neutered Male,1 year,German Shepherd Mix,White
A715202,Lana,2015-11-06 12:46:00,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Longhair Mix,White
A670686,Jules,2014-01-18 12:41:00,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black
A664509,Dancer,2013-11-08 18:42:00,Adoption,,Dog,Spayed Female,9 months,Boxer Mix,Black/White
A720091,,2016-02-15 00:00:00,Transfer,Partner,Dog,Intact Male,2 weeks,Labrador Retriever Mix,Blue Merle/White
A710821,Fawn,2015-10-13 14:31:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A713046,Bindy,2015-10-13 12:56:00,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Black/White
A670474,,2014-01-09 18:34:00,Return_to_owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A706723,,2015-07-07 18:14:00,Transfer,Partner,Dog,Intact Female,3 months,Pit Bull Mix,White/Blue
A680701,Straya,2014-06-16 16:50:00,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Longhair Mix,Chocolate/Tan
A659617,Alexei,2013-10-13 11:05:00,Adoption,Offsite,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A711120,,2015-09-21 15:55:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
A678881,Clancy,2014-07-13 12:27:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Collie Smooth,Black/White
A683069,,2014-07-06 18:33:00,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Orange Tabby/White
A684464,Osiris,2014-07-26 19:03:00,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Spanish Water Dog,Black/White
A666409,,2013-11-06 11:12:00,Transfer,Partner,Dog,Neutered Male,1 year,Maltese Mix,White
A705114,,2015-06-13 15:47:00,Transfer,Partner,Dog,Intact Male,2 days,German Shepherd Mix,Brown
A685088,Dovey,2014-08-12 17:04:00,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,White
A711555,Trina,2015-10-18 19:22:00,Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair,Black/White
A687253,Mini,2014-09-03 13:52:00,Transfer,Partner,Dog,Spayed Female,6 months,Miniature Schnauzer/Miniature Poodle,Gray
A679362,Patches,2014-06-23 12:19:00,Transfer,Partner,Dog,Spayed Female,4 years,Pit Bull Mix,Brown/White
A579260,Doji,2015-08-07 17:17:00,Return_to_owner,,Dog,Spayed Female,6 years,Siberian Husky/Border Collie,Black/White
A699353,Otis,2015-04-02 13:57:00,Transfer,Partner,Dog,Neutered Male,2 years,Boxer/Australian Cattle Dog,Red/White
A708523,,2015-07-29 13:44:00,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black
A693326,Jewel,2014-12-07 11:32:00,Transfer,Partner,Dog,Spayed Female,6 months,Dalmatian,White/Black
A462879,Sierra,2014-05-24 17:09:00,Return_to_owner,,Dog,Spayed Female,7 years,Pit Bull Mix,Gold/White
A698104,Astro,2015-04-14 18:37:00,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black/Tan
A702755,Oscar,2015-07-26 00:00:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A677633,,2014-04-27 15:35:00,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White
A711356,J.D.,2015-09-11 13:50:00,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate
